state,date,value
IN,2011-01-01,15.8
IN,2012-01-01,15.5
IN,2013-01-01,15.8
IN,2014-01-01,15.2
IN,2015-01-01,14.4
IN,2016-01-01,14.0
IN,2017-01-01,13.3
IN,2018-01-01,13.0
IN,2019-01-01,11.9
IN,2020-01-01,11.6
IN,2021-01-01,12.1
IN,2022-01-01,12.5
IN,2023-01-01,12.2
IN,2024-01-01,12.1
IA,1989-01-01,10.4
IA,1990-01-01,
IA,1991-01-01,
IA,1992-01-01,
IA,1993-01-01,11.1
IA,1994-01-01,
IA,1995-01-01,9.8
IA,1996-01-01,9.5
IA,1997-01-01,9.9
IA,1998-01-01,9.5
IA,1999-01-01,8.5
IA,2000-01-01,8.3
IA,2001-01-01,8.2
IA,2002-01-01,9.1
IA,2003-01-01,9.1
IA,2004-01-01,10.5
IA,2005-01-01,10.8
IA,2006-01-01,11.0
IA,2007-01-01,11.0
IA,2008-01-01,11.4
IA,2009-01-01,11.8
IA,2010-01-01,12.5
IA,2011-01-01,12.7
IA,2012-01-01,12.7
IA,2013-01-01,12.6
IA,2014-01-01,12.3
IA,2015-01-01,12.1
IA,2016-01-01,11.7
IA,2017-01-01,10.8
IA,2018-01-01,11.2
IA,2019-01-01,11.0
IA,2020-01-01,10.2
IA,2021-01-01,11.0
IA,2022-01-01,11.0
IA,2023-01-01,11.1
IA,2024-01-01,11.2
KS,1989-01-01,10.8
KS,1990-01-01,
KS,1991-01-01,
KS,1992-01-01,
KS,1993-01-01,12.2
KS,1994-01-01,
KS,1995-01-01,11.0
KS,1996-01-01,10.8
KS,1997-01-01,10.9
KS,1998-01-01,10.5
KS,1999-01-01,10.2
KS,2000-01-01,8.9
KS,2001-01-01,9.5
KS,2002-01-01,10.0
KS,2003-01-01,10.4
KS,2004-01-01,11.1
KS,2005-01-01,11.7
KS,2006-01-01,12.2
KS,2007-01-01,11.2
KS,2008-01-01,11.3
KS,2009-01-01,13.2
KS,2010-01-01,13.5
KS,2011-01-01,13.8
KS,2012-01-01,14.0
KS,2013-01-01,13.9
KS,2014-01-01,13.5
KS,2015-01-01,12.9
KS,2016-01-01,12.2
KS,2017-01-01,11.9
KS,2018-01-01,11.9
KS,2019-01-01,11.3
KS,2020-01-01,10.6
KS,2021-01-01,11.6
KS,2022-01-01,11.9
KS,2023-01-01,11.2
KS,2024-01-01,10.9
KY,1989-01-01,17.2
KY,1990-01-01,
KY,1991-01-01,
KY,1992-01-01,
KY,1993-01-01,19.7
KY,1994-01-01,
KY,1995-01-01,17.9
KY,1996-01-01,17.5
KY,1997-01-01,16.0
KY,1998-01-01,15.3
KY,1999-01-01,14.3
KY,2000-01-01,13.9
KY,2001-01-01,14.7
KY,2002-01-01,14.8
KY,2003-01-01,15.0
KY,2004-01-01,16.3
KY,2005-01-01,16.9
KY,2006-01-01,17.0
KY,2007-01-01,17.2
KY,2008-01-01,17.3
KY,2009-01-01,18.4
KY,2010-01-01,18.9
KY,2011-01-01,19.1
KY,2012-01-01,19.3
KY,2013-01-01,18.8
KY,2014-01-01,19.0
KY,2015-01-01,18.3
KY,2016-01-01,18.2
KY,2017-01-01,17.1
KY,2018-01-01,16.7
KY,2019-01-01,16.0
KY,2020-01-01,14.9
KY,2021-01-01,16.3
KY,2022-01-01,16.3
KY,2023-01-01,16.1
KY,2024-01-01,15.4
LA,1989-01-01,22.4
LA,1990-01-01,
LA,1991-01-01,
LA,1992-01-01,
LA,1993-01-01,23.9
LA,1994-01-01,
LA,1995-01-01,21.2
LA,1996-01-01,20.7
LA,1997-01-01,18.4
LA,1998-01-01,18.2
LA,1999-01-01,18.3
LA,2000-01-01,17.3
LA,2001-01-01,18.3
LA,2002-01-01,18.1
LA,2003-01-01,18.1
